time,speed_kmh,i_true,i_meas,v_meas,true_soc,cc_soc,hybrid_soc,kf_soc
207.000,3.75,13.001,13.119,12.5917,96.1791,96.5410,91.6654,96.3412,12.6054
208.000,7.50,26.063,26.161,12.4119,96.1489,96.5136,91.6380,96.0528,12.4123
209.000,11.25,39.249,39.285,12.2266,96.0985,96.4680,91.5925,96.0375,12.2210
210.000,15.00,7.089,7.269,12.6538,96.0282,96.4047,91.5292,95.8780,12.6286
211.000,15.00,7.089,7.165,12.6491,96.0175,96.3949,91.5193,96.2705,12.6438
212.000,15.00,7.089,7.189,12.6531,96.0068,96.3851,91.5096,95.9645,12.6337
213.000,15.00,7.089,7.088,12.6584,95.9961,96.3753,91.4997,96.2530,12.6453
214.000,15.00,7.089,7.218,12.6542,95.9853,96.3655,91.4900,96.2159,12.6428
215.000,15.00,7.089,7.077,12.6519,95.9746,96.3557,91.4802,96.0869,12.6409
216.000,15.00,7.089,7.149,12.6298,95.9639,96.3459,91.4704,95.9897,12.6371
217.000,15.00,7.089,7.135,12.6381,95.9531,96.3360,91.4605,95.9747,12.6373
218.000,15.00,-14.961,-14.853,12.9275,95.9426,96.3264,91.4508,96.0345,12.9366
219.000,12.00,-12.065,-12.066,12.9317,95.9634,96.3450,91.4694,96.4200,12.9225
220.000,9.00,-9.105,-9.095,12.8756,95.9798,96.3595,91.4840,96.0940,12.8802
221.000,6.00,-6.097,-6.000,12.8677,95.9915,96.3699,91.4943,96.3827,12.8550
222.000,3.00,-3.057,-2.831,12.8131,95.9985,96.3761,91.5005,96.1398,12.8093
223.000,0.00,0.000,0.107,12.7591,96.0009,96.3780,91.3858,96.1205,12.7724
224.000,0.00,0.000,0.134,12.7628,96.0009,96.3780,90.8034,96.0458,12.7720
225.000,0.00,0.000,0.222,12.7889,96.0009,96.3780,91.4579,96.3508,12.7835
226.000,0.00,0.000,0.140,12.7802,96.0009,96.3780,91.1205,96.0457,12.7766
227.000,0.00,0.000,0.155,12.8014,96.0009,96.3780,91.9700,96.4266,12.7915
228.000,0.00,0.000,0.166,12.7842,96.0009,96.3780,91.7381,96.2146,12.7863
229.000,0.00,0.000,0.043,12.7923,96.0009,96.3780,92.1029,96.3164,12.7934
230.000,0.00,0.000,0.260,12.8064,96.0009,96.3780,92.0513,96.2395,12.7899
231.000,0.00,0.000,0.141,12.7889,96.0009,96.3780,91.9669,96.1158,12.7893
232.000,0.00,0.000,-0.011,12.7894,96.0009,96.3780,92.0905,96.0754,12.7918
233.000,0.00,0.000,0.230,12.8094,96.0009,96.3780,92.3449,96.2000,12.7946
234.000,0.00,0.000,0.244,12.7873,96.0009,96.3780,92.5527,96.1913,12.7958
235.000,0.00,0.000,0.210,12.7834,96.0009,96.3780,92.4279,96.0831,12.7943
236.000,0.00,0.000,0.237,12.8052,96.0009,96.3780,92.5722,96.0701,12.7951
237.000,0.00,0.000,0.104,12.7919,96.0009,96.3780,92.8033,96.1228,12.8002
238.000,0.00,0.000,0.201,12.7997,96.0009,96.3780,93.3418,96.3168,12.8069
239.000,0.00,0.000,0.058,12.7869,96.0009,96.3780,93.1375,96.1184,12.8034
240.000,0.00,0.000,0.192,12.7985,96.0009,96.3780,93.3381,96.2151,12.8062
241.000,0.00,0.000,0.037,12.7917,96.0009,96.3780,93.4139,96.1707,12.8080
242.000,0.00,0.000,0.088,12.8206,96.0009,96.3780,93.8151,96.3409,12.8143
243.000,0.00,0.000,0.131,12.8210,96.0009,96.3780,93.6549,96.2056,12.8103
244.000,0.00,0.000,0.188,12.7961,96.0009,96.3780,93.6492,96.1674,12.8094
245.000,2.50,6.134,6.383,12.7145,95.9961,96.3736,93.2516,96.1535,12.7248
246.000,5.00,12.286,12.300,12.6306,95.9819,96.3606,93.2386,96.1182,12.6403
247.000,7.50,18.475,18.599,12.5381,95.9581,96.3390,93.2170,95.9911,12.5446
248.000,10.00,24.718,24.827,12.4376,95.9248,96.3089,93.1868,95.9540,12.4501
249.000,12.50,31.035,31.246,12.3617,95.8817,96.2700,93.1480,95.8628,12.3485
250.000,15.00,41.490,41.727,12.1842,95.8289,96.2222,93.1002,95.5087,12.1806
251.000,17.83,49.649,49.835,12.0426,95.7585,96.1587,93.0367,95.5744,12.0539
252.000,20.67,50.000,49.987,12.0154,95.6811,96.0893,92.9673,95.3685,12.0240
253.000,23.50,50.000,50.144,12.0131,95.6036,96.0199,92.8979,95.3383,12.0010
254.000,26.33,50.000,50.267,11.9583,95.5261,95.9505,92.8285,95.2476,11.9773
255.000,29.17,50.000,50.009,11.9604,95.4486,95.8811,92.7591,95.1630,11.9597
256.000,32.00,20.100,20.107,12.3474,95.3714,95.8120,92.6900,95.1858,12.3467
257.000,32.00,20.100,20.219,12.3411,95.3404,95.7838,92.6618,95.1969,12.3437
258.000,32.00,20.100,20.160,12.3409,95.3094,95.7555,92.6335,95.3865,12.3491
259.000,32.00,20.100,20.140,12.3541,95.2784,95.7272,92.6052,95.1751,12.3405
