time,speed_kmh,i_true,i_meas,v_meas,true_soc,cc_soc,hybrid_soc,kf_soc
256.000,32.00,20.100,20.107,12.3536,95.8638,95.8120,93.1165,95.5979,12.3529
257.000,32.00,20.100,20.219,12.3473,95.8364,95.7838,93.0883,95.6120,12.3499
258.000,32.00,20.100,20.160,12.3472,95.8089,95.7555,93.0600,95.8041,12.3553
259.000,32.00,20.100,20.140,12.3605,95.7815,95.7272,93.0317,95.5953,12.3468
260.000,32.00,20.100,20.302,12.3414,95.7541,95.6990,93.0035,95.4901,12.3395
261.000,32.00,20.100,20.157,12.3362,95.7267,95.6707,92.9752,95.5597,12.3423
262.000,32.00,20.100,20.127,12.3478,95.6993,95.6425,92.9470,95.4356,12.3371
263.000,32.00,20.100,20.077,12.3215,95.6718,95.6142,92.9187,95.5590,12.3406
264.000,32.00,20.100,20.254,12.3291,95.6444,95.5859,92.8905,95.4055,12.3317
265.000,32.00,20.100,20.128,12.3146,95.6170,95.5577,92.8622,95.3205,12.3293
266.000,32.00,20.100,20.224,12.3191,95.5896,95.5295,92.8340,95.1491,12.3212
267.000,32.00,20.100,20.363,12.3452,95.5622,95.5013,92.8058,95.4927,12.3299
268.000,32.00,20.100,20.299,12.3430,95.5348,95.4731,92.7776,95.5445,12.3314
269.000,32.00,20.100,20.354,12.3141,95.5073,95.4449,92.7494,95.1964,12.3179
270.000,32.00,20.100,20.261,12.3373,95.4799,95.4166,92.7211,95.4657,12.3274
271.000,32.00,20.100,20.096,12.3132,95.4525,95.3884,92.6929,95.2125,12.3202
272.000,32.00,20.100,20.318,12.3096,95.4251,95.3601,92.6647,95.2765,12.3186
273.000,32.00,20.100,20.306,12.3060,95.3977,95.3318,92.6364,95.0741,12.3113
274.000,32.00,20.100,20.196,12.2989,95.3702,95.3036,92.6081,95.1822,12.3158
275.000,32.00,20.100,20.321,12.3269,95.3428,95.2754,92.5799,95.1940,12.3139
276.000,32.00,20.100,20.346,12.2954,95.3154,95.2472,92.5517,94.9411,12.3044
277.000,32.00,20.100,20.204,12.3218,95.2880,95.2189,92.5234,94.9414,12.3058
278.000,32.00,20.100,20.137,12.3204,95.2606,95.1907,92.4952,94.9132,12.3054
279.000,32.00,20.100,20.135,12.3077,95.2332,95.1624,92.4669,94.8827,12.3041
280.000,32.00,-28.178,-28.013,12.9716,95.2061,95.1345,92.4390,95.0171,12.9584
281.000,29.09,-26.129,-26.111,12.9560,95.2438,95.1720,92.4765,95.3075,12.9656
282.000,26.18,-23.934,-23.691,12.9553,95.2786,95.2066,92.5112,95.2493,12.9520
283.000,23.27,-21.607,-21.426,12.9641,95.3102,95.2381,92.5426,95.6268,12.9532
284.000,20.36,-19.163,-19.154,12.9235,95.3385,95.2662,92.5708,95.3509,12.9303
285.000,17.45,-16.616,-16.444,12.9069,95.3634,95.2910,92.5955,95.3852,12.9100
286.000,14.55,-13.981,-13.759,12.9044,95.3846,95.3120,92.6166,95.5050,12.8909
287.000,11.64,-11.273,-11.214,12.8482,95.4022,95.3294,92.6339,95.3423,12.8624
288.000,8.73,-8.506,-8.244,12.8374,95.4159,95.3430,92.6475,95.4472,12.8353
289.000,5.82,-5.695,-5.661,12.8032,95.4258,95.3527,92.6572,95.2769,12.8024
290.000,2.91,-2.855,-2.623,12.7736,95.4317,95.3584,92.6629,95.4166,12.7723
