Time [s],xung,SysTick,Task_SOC.c,Task_Voltage.c,Task_CAN.c,Task_Temperature.c,Channel 6,Channel 7
39.028357167,0,0,0,0,0,0,1,1
39.028357833,0,1,0,0,0,0,1,1
39.028358375,0,0,0,0,0,0,1,1
39.028368125,0,0,1,0,0,0,1,1
39.028394125,0,0,0,0,0,0,1,1
39.029356667,1,0,0,0,0,0,1,1
39.029357167,0,0,0,0,0,0,1,1
39.030356667,1,0,0,0,0,0,1,1
39.030357208,0,0,0,0,0,0,1,1
39.031356708,1,0,0,0,0,0,1,1
39.031357208,0,0,0,0,0,0,1,1
39.032356708,1,0,0,0,0,0,1,1
39.032357208,0,0,0,0,0,0,1,1
39.033356708,1,0,0,0,0,0,1,1
39.033357208,0,0,0,0,0,0,1,1
39.033357875,0,1,0,0,0,0,1,1
39.033358417,0,0,0,0,0,0,1,1
39.033367917,0,0,1,0,0,0,1,1
39.033393917,0,0,0,0,0,0,1,1
39.034356708,1,0,0,0,0,0,1,1
39.034357208,0,0,0,0,0,0,1,1
39.035356708,1,0,0,0,0,0,1,1
39.035357250,0,0,0,0,0,0,1,1
39.036356750,1,0,0,0,0,0,1,1
39.036357250,0,0,0,0,0,0,1,1
39.037356750,1,0,0,0,0,0,1,1
39.037357250,0,0,0,0,0,0,1,1
39.038356750,1,0,0,0,0,0,1,1
39.038357250,0,0,0,0,0,0,1,1
39.038357917,0,1,0,0,0,0,1,1
39.038358458,0,0,0,0,0,0,1,1
39.038368333,0,0,1,0,0,0,1,1
39.038394333,0,0,0,0,0,0,1,1
39.039356750,1,0,0,0,0,0,1,1
39.039357292,0,0,0,0,0,0,1,1
39.040356750,1,0,0,0,0,0,1,1
39.040357292,0,0,0,0,0,0,1,1
39.041356792,1,0,0,0,0,0,1,1
39.041357292,0,0,0,0,0,0,1,1
39.042356792,1,0,0,0,0,0,1,1
39.042357292,0,0,0,0,0,0,1,1
39.043356792,1,0,0,0,0,0,1,1
39.043357292,0,0,0,0,0,0,1,1
39.043357958,0,1,0,0,0,0,1,1
39.043358500,0,0,0,0,0,0,1,1
39.043368125,0,0,1,0,0,0,1,1
39.043394125,0,0,0,0,0,0,1,1
39.044356792,1,0,0,0,0,0,1,1
39.044357333,0,0,0,0,0,0,1,1
39.045356792,1,0,0,0,0,0,1,1
39.045357333,0,0,0,0,0,0,1,1
39.046356833,1,0,0,0,0,0,1,1
39.046357333,0,0,0,0,0,0,1,1
39.047356833,1,0,0,0,0,0,1,1
39.047357333,0,0,0,0,0,0,1,1
39.048356833,1,0,0,0,0,0,1,1
39.048357333,0,0,0,0,0,0,1,1
39.048358000,0,1,0,0,0,0,1,1
39.048358542,0,0,0,0,0,0,1,1
39.048368500,0,0,1,0,0,0,1,1
39.048394500,0,0,0,0,0,0,1,1
39.049356833,1,0,0,0,0,0,1,1
39.049357375,0,0,0,0,0,0,1,1
39.050356833,1,0,0,0,0,0,1,1
39.050357375,0,0,0,0,0,0,1,1
39.051356875,1,0,0,0,0,0,1,1
39.051357375,0,0,0,0,0,0,1,1
39.052356875,1,0,0,0,0,0,1,1
39.052357375,0,0,0,0,0,0,1,1
39.053356875,1,0,0,0,0,0,1,1
39.053357375,0,0,0,0,0,0,1,1
39.053358042,0,1,0,0,0,0,1,1
39.053358583,0,0,0,0,0,0,1,1
39.053368792,0,0,1,0,0,0,1,1
39.053394792,0,0,0,0,0,0,1,1
39.054356875,1,0,0,0,0,0,1,1
39.054357417,0,0,0,0,0,0,1,1
39.055356917,1,0,0,0,0,0,1,1
39.055357417,0,0,0,0,0,0,1,1
39.056356917,1,0,0,0,0,0,1,1
39.056357417,0,0,0,0,0,0,1,1
39.057356917,1,0,0,0,0,0,1,1
39.057357417,0,0,0,0,0,0,1,1
39.058356917,1,0,0,0,0,0,1,1
39.058357417,0,0,0,0,0,0,1,1
39.058358083,0,1,0,0,0,0,1,1
39.058358625,0,0,0,0,0,0,1,1
39.058370667,0,0,1,0,0,0,1,1
39.058396625,0,0,0,0,0,0,1,1
39.058405875,0,0,0,1,0,0,1,1
39.059356917,1,0,0,1,0,0,1,1
39.059357458,0,0,0,1,0,0,1,1
39.060356958,1,0,0,1,0,0,1,1
39.060357458,0,0,0,1,0,0,1,1
39.060716750,0,0,0,0,0,0,1,1
39.061356958,1,0,0,0,0,0,1,1
39.061357458,0,0,0,0,0,0,1,1
39.062356958,1,0,0,0,0,0,1,1
39.062357458,0,0,0,0,0,0,1,1
39.063356958,1,0,0,0,0,0,1,1
39.063357458,0,0,0,0,0,0,1,1
39.063358125,0,1,0,0,0,0,1,1
39.063358667,0,0,0,0,0,0,1,1
39.063368292,0,0,1,0,0,0,1,1
39.063414708,0,0,0,0,0,0,1,1
39.064356958,1,0,0,0,0,0,1,1
39.064357500,0,0,0,0,0,0,1,1
39.065357000,1,0,0,0,0,0,1,1
39.065357500,0,0,0,0,0,0,1,1
